He leído la introducción del cuestionario y me comprometo a completarlo bajo las condiciones descritas,Edad,Usted es,"Tiene un cargo directivo, por ejemplo, gerente, jefe, supervisor, coordinador?",La dirección anima a los empleados a trabajar de acuerdo con las reglas de seguridad y salud en el trabajo incluso cuando los tiempos de trabajo son reducidos,La dirección se asegura de que todos reciban la información necesaria sobre seguridad.,La dirección no muestra interés cuando alguien es poco cuidadoso con la seguridad,Para la dirección es más importante la seguridad que la producción,La dirección acepta que los empleados se arriesguen cuando los tiempos de trabajo son reducidos,Quienes trabajamos aquí tenemos confianza en la capacidad de la dirección para manejar la seguridad,La dirección se asegura de que todos los problemas de seguridad que se detectan durante las inspecciones sean corregidos inmediatamente,"Cuando se detecta un riesgo, la dirección lo ignora y no hace nada",La dirección no tiene la capacidad de manejar la seguridad adecuadamente,La dirección se esfuerza para diseñar rutinas de seguridad que son significativas y que realmente funcionan,La dirección se asegura de que todos los trabajadores puedan participar en la seguridad en su trabajo,La dirección anima a los empleados a participar en las decisiones que afectan su seguridad,La dirección nunca tiene en cuenta las sugerencias de los empleados sobre la seguridad,La dirección se esfuerza para que todos los empleados tengan un alto nivel de competencia respecto a la seguridad y los riesgos,La dirección nunca pide a los empleados sus opiniones antes de tomar decisiones sobre la seguridad,La dirección involucra a los empleados en la toma de decisiones sobre la seguridad,La dirección recoge información precisa en las investigaciones sobre accidentes,El miedo a las sanciones (consecuencias negativas) de la dirección desanima a los empleados a informar sobre hechos que casi han provocado accidentes (incidentes),La dirección escucha atentamente a todos los que han estado involucrados en un accidente,"La dirección busca las causas, no a las personas culpables, cuando ocurre un accidente",La dirección siempre culpa de los accidentes a los empleados,La dirección trata a los empleados involucrados en un accidente de manera justa,Quienes trabajamos en esta empresa nos esforzamos conjuntamente por alcanzar un alto nivel de seguridad,Quienes trabajamos en esta empresa aceptamos conjuntamente la responsabilidad de asegurar que nuestro lugar de trabajo siempre esté ordenado,A quienes trabajamos en esta empresa no nos importa la seguridad de los demás,Quienes trabajamos en esta empresa evitamos combatir los riesgos detectados,Quienes trabajamos en esta empresa nos ayudamos mutuamente a trabajar seguros,Quienes trabajamos en esta empresa no aceptamos ninguna responsabilidad por la seguridad de los demás,Quienes trabajamos en esta empresa vemos los riesgos como algo que no se puede evitar,Quienes trabajamos en esta empresa consideramos los accidentes menores como una parte normal de nuestro trabajo diario,Quienes trabajamos en esta empresa aceptamos los comportamientos inseguros mientras no hayan accidentes,Quienes trabajamos en esta empresa desobedecemos las reglas de seguridad para poder terminar el trabajo a tiempo,Quienes trabajamos en esta empresa nunca aceptamos correr riesgos incluso cuando los tiempos de trabajo son reducidos,Quienes trabajamos en esta empresa consideramos que nuestro trabajo no es adecuado para los cobardes,Quienes trabajamos en esta empresa aceptamos correr riesgos en el trabajo,Quienes trabajamos en esta empresa intentamos encontrar una solución si alguien nos indica un problema en la seguridad,Quienes trabajamos aqu�os sentimos seguros cuando trabajamos juntos,Quienes trabajamos aqu�enemos mucha confianza en nuestra mutua capacidad de garantizar la seguridad,Quienes trabajamos en esta empresa aprendemos de nuestras experiencias para prevenir los accidentes,Quienes trabajamos en esta empresa tomamos muy en serio las opiniones y sugerencias de los demás sobre la seguridad,Quienes trabajamos en esta empresa rara vez hablamos sobre la seguridad,Quienes trabajamos en esta empresa siempre hablamos de temas de seguridad cuando éstos surgen,Quienes trabajamos en esta empresa podemos hablar libre y abiertamente sobre la seguridad,Quienes trabajamos en esta empresa consideramos que un buen representante de seguridad juega un papel importante en la prevención de accidentes,Quienes trabajamos en esta empresa consideramos que las inspecciones de seguridad no influyen en absoluto para generar seguridad,Quienes trabajamos en esta empresa consideramos que la formación en seguridad es buena para prevenir accidentes,Quienes trabajamos en esta empresa consideramos que la planificación anticipada de la seguridad no tiene sentido,Quienes trabajamos en esta empresa consideramos que las inspecciones de seguridad ayudan a detectar riesgos importantes,Quienes trabajamos en esta empresa consideramos que la formación en seguridad no tiene sentido,Quienes trabajamos en esta empresa consideramos que es importante que haya objetivos de seguridad claros,"Si desea ampliar alguna de sus respuestas, o tiene algn comentario sobre el estudio, puede escribirlo aquí"
Si,56,Masculino,No,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ninguna
Si,25,Masculino,Si,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Ninguno
Si,33,Masculino,No,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,No
Si,27,Masculino,No,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Na
Si,39,Masculino,Si,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Ninguno
Si,50,Masculino,No,En desacuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Formarnos como personas en la seguridad de todos y cada uno para ayudar a todos los demás y aúno mismo para la seguridad de la vida
Si,32,Masculino,No,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Flatas más inspección en los mástiles de los equipos
Si,50,Masculino,No,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Tenemos que seguir trabajando con toda la seguridad para evitar accidentes
Si,47,Masculino,No,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,No
Si,31,Masculino,No,De acuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,No
Si,23,Femenino,Si,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,La seguridad es primordial en ELAWA CMSA
